1,Chicago Blackhawks*,26.8,48,36,7,5,77,.802,149,97,6,5,1.04,-0.07,5.13,39,74,25,150,16.67,18,141,87.23,5,5,9.2,10.0,1494,10.0,1258,.923,7
2,Pittsburgh Penguins*,29.0,48,36,12,0,72,.750,162,119,3,0,0.91,-0.05,5.85,73,82,42,170,24.71,34,167,79.64,2,3,11.7,12.1,1438,11.3,1403,.915,5
3,Anaheim Ducks*,28.8,48,30,12,6,66,.688,134,115,6,3,0.43,-0.02,5.19,43,80,29,135,21.48,30,162,81.48,5,5,11.1,9.5,1347,9.9,1340,.914,5
4,Montreal Canadiens*,27.8,48,29,14,5,63,.656,146,124,3,2,0.46,-0.02,5.63,62,87,42,203,20.69,35,173,79.77,0,2,13.3,14.9,1468,9.9,1293,.904,4
5,Boston Bruins*,27.8,48,28,14,6,62,.646,127,106,4,3,0.44,-0.02,4.85,27,83,18,122,14.75,21,163,87.12,5,2,12.2,9.8,1557,8.2,1373,.923,6
6,St. Louis Blues*,26.3,48,29,17,2,60,.625,124,114,5,1,0.31,0.02,4.96,32,86,29,149,19.46,23,150,84.67,3,5,11.1,11.3,1336,9.3,1161,.902,7
7,Los Angeles Kings*,26.5,48,27,16,5,59,.615,131,114,2,4,0.29,-0.02,5.10,44,86,33,166,19.88,27,161,83.23,2,1,10.0,10.6,1431,9.2,1198,.905,2
8,Vancouver Canucks*,28.2,48,26,15,7,59,.615,122,115,5,6,0.07,-0.06,4.94,37,85,26,165,15.76,27,169,84.02,2,3,12.7,13.1,1350,9.0,1389,.917,7
9,San Jose Sharks*,28.9,48,25,16,7,57,.594,116,112,8,4,0.17,0.01,4.75,39,86,34,169,20.12,22,147,85.03,3,4,10.9,11.2,1526,7.6,1390,.919,5
10,Toronto Maple Leafs*,26.0,48,26,17,5,57,.594,145,128,0,5,0.27,0.02,5.69,50,105,31,166,18.67,19,157,87.90,1,4,16.1,15.2,1264,11.5,1549,.917,6
11,Washington Capitals*,26.6,48,27,18,3,57,.594,146,130,3,0,0.31,-0.09,5.75,65,90,44,164,26.83,36,163,77.91,3,4,10.8,11.5,1350,10.8,1551,.916,4
12,Ottawa Senators*,27.4,48,25,17,6,56,.583,112,100,4,4,0.27,0.02,4.42,40,79,25,157,15.92,20,167,88.02,2,1,13.6,13.8,1591,7.0,1502,.933,4
13,Detroit Red Wings*,28.2,48,24,16,8,56,.583,122,110,2,5,0.20,0.01,4.83,47,75,34,185,18.38,30,164,81.71,3,5,9.8,11.5,1447,8.4,1322,.917,5
14,New York Rangers*,27.2,48,26,18,4,56,.583,126,108,4,4,0.38,0.00,4.88,39,76,24,153,15.69,28,148,81.08,5,4,9.3,10.1,1483,8.5,1353,.920,2
15,Columbus Blue Jackets,26.3,48,24,17,7,55,.573,115,115,5,4,0.03,0.01,4.79,29,88,22,155,14.19,25,144,82.64,3,2,12.6,12.8,1283,9.0,1436,.920,4
16,New York Islanders*,28.7,48,24,17,7,55,.573,135,136,4,3,0.03,0.03,5.65,46,108,31,156,19.87,28,142,80.28,2,0,9.6,10.3,1485,9.1,1352,.899,3
17,Minnesota Wild*,27.8,48,26,19,3,55,.573,118,125,4,2,-0.16,-0.05,5.06,41,99,27,151,17.88,26,135,80.74,1,0,11.4,11.8,1382,8.5,1299,.904,3
18,Phoenix Coyotes,28.4,48,21,18,9,51,.531,121,125,4,6,-0.10,0.03,5.13,43,89,25,169,14.79,34,169,79.88,2,2,10.5,10.1,1482,8.2,1467,.915,6
19,Winnipeg Jets,26.4,48,24,21,3,51,.531,126,141,2,3,-0.36,-0.03,5.56,46,110,20,145,13.79,28,138,79.71,1,3,11.1,10.5,1389,9.1,1424,.901,1
20,Philadelphia Flyers,27.9,48,23,22,3,49,.510,132,139,1,2,-0.14,0.03,5.65,49,110,37,171,21.64,26,184,85.87,2,3,15.7,15.6,1394,9.5,1371,.899,1
21,Dallas Stars,28.2,48,22,22,4,48,.500,128,141,2,1,-0.21,0.05,5.60,38,104,29,171,16.96,34,179,81.01,2,3,13.0,13.0,1261,10.2,1489,.905,1
22,Buffalo Sabres,27.3,48,21,21,6,48,.500,118,139,7,4,-0.31,0.07,5.35,36,95,23,163,14.11,37,178,79.21,7,7,13.1,12.4,1339,8.8,1606,.913,1
23,New Jersey Devils,30.8,48,19,19,10,48,.500,110,122,2,7,-0.31,0.04,4.83,33,84,28,176,15.91,32,169,81.07,11,6,10.6,11.5,1362,8.1,1110,.890,3
24,Edmonton Oilers,26.4,48,19,22,7,45,.469,123,131,2,3,-0.22,-0.03,5.29,41,101,34,169,20.12,29,175,83.43,4,1,10.8,11.4,1285,9.6,1572,.917,3
25,Calgary Flames,29.0,48,19,25,4,42,.438,128,157,0,3,-0.65,0.02,5.94,52,127,31,155,20.00,28,151,81.46,6,2,10.8,9.9,1293,9.9,1412,.889,0
26,Carolina Hurricanes,26.9,48,19,25,4,42,.438,127,159,1,1,-0.65,0.02,5.96,31,119,24,165,14.55,36,161,77.64,3,4,11.2,10.6,1545,8.2,1546,.897,2
27,Nashville Predators,27.3,48,16,23,9,41,.427,109,133,2,6,-0.50,0.09,5.04,47,95,24,140,17.14,34,139,75.54,1,4,9.8,10.1,1244,8.8,1335,.900,5
28,Tampa Bay Lightning,27.7,48,18,26,4,40,.417,147,147,1,3,-0.11,-0.07,6.13,45,113,31,163,19.02,30,155,80.65,0,4,12.0,13.0,1323,11.1,1451,.899,1
29,Colorado Avalanche,26.7,48,16,25,7,39,.406,114,150,2,2,-0.73,0.02,5.50,43,111,21,140,15.00,36,183,80.33,3,3,12.5,9.8,1415,8.1,1508,.901,3
30,Florida Panthers,27.8,48,15,27,6,36,.375,109,170,3,1,-1.18,0.05,5.81,30,130,29,142,20.42,39,151,74.17,4,1,11.3,10.2,1400,7.8,1504,.887,0
