1,Washington Capitals*,27.9,82,56,18,8,120,.732,248,191,4,2,0.70,-0.02,5.35,98,148,55,251,21.91,38,256,85.16,2,5,9.2,8.9,2510,9.9,2332,.918,3
2,Dallas Stars*,28.9,82,50,23,9,109,.665,265,228,2,2,0.45,-0.01,6.01,99,169,58,262,22.14,44,248,82.26,10,15,8.8,9.0,2624,10.1,2371,.904,5
3,St. Louis Blues*,28.0,82,49,24,9,107,.652,219,197,5,4,0.28,0.00,5.07,70,151,51,237,21.52,41,276,85.14,4,5,10.5,9.2,2474,8.9,2439,.919,10
4,Pittsburgh Penguins*,29.0,82,48,26,8,104,.634,241,199,4,4,0.50,-0.01,5.37,92,154,48,261,18.39,40,257,84.44,11,5,8.5,8.9,2722,8.9,2436,.918,6
5,Anaheim Ducks*,27.4,82,46,25,11,103,.628,215,188,3,4,0.27,-0.05,4.91,88,148,56,245,22.86,37,290,87.24,7,3,12.5,11.1,2483,8.7,2258,.917,8
6,Chicago Blackhawks*,28.6,82,47,26,9,103,.628,234,207,1,2,0.32,0.00,5.38,84,158,57,252,22.62,46,233,80.26,10,3,7.5,8.6,2498,9.4,2526,.918,8
7,Florida Panthers*,29.2,82,47,26,9,103,.628,232,200,7,3,0.42,-0.02,5.27,74,140,47,278,16.91,55,268,79.48,5,5,10.4,10.4,2358,9.8,2419,.917,4
8,Los Angeles Kings*,28.3,82,48,28,6,102,.622,223,192,2,3,0.32,-0.04,5.06,78,136,47,235,20.00,53,285,81.40,5,3,10.6,9.1,2625,8.5,2254,.915,7
9,New York Rangers*,29.6,82,46,27,9,101,.616,233,215,3,2,0.24,0.01,5.46,88,157,42,226,18.58,53,243,78.19,3,5,8.6,8.3,2336,10.0,2494,.914,5
10,New York Islanders*,27.9,82,45,27,10,100,.610,227,211,5,5,0.19,0.00,5.34,78,169,43,229,18.78,36,232,84.48,7,6,8.8,9.2,2412,9.4,2495,.915,4
11,San Jose Sharks*,29.1,82,46,30,6,98,.598,237,207,4,3,0.33,-0.05,5.41,85,154,62,275,22.55,46,236,80.51,6,7,8.9,11.0,2491,9.5,2245,.908,9
12,Tampa Bay Lightning*,27.3,82,46,31,5,97,.591,224,198,3,3,0.30,-0.02,5.15,60,150,44,279,15.77,41,257,84.05,7,7,9.9,10.6,2402,9.3,2366,.916,7
13,Philadelphia Flyers*,28.1,82,41,27,14,96,.585,211,210,3,8,-0.03,0.02,5.13,58,151,53,280,18.93,51,262,80.53,3,8,11.8,11.9,2540,8.3,2519,.917,7
14,Nashville Predators*,28.4,82,41,27,14,96,.585,224,213,4,2,0.17,0.01,5.33,90,165,51,259,19.69,46,245,81.22,7,2,9.9,9.8,2507,8.9,2242,.905,6
15,Boston Bruins,28.8,82,42,31,9,93,.567,236,228,4,2,0.11,-0.02,5.66,63,176,48,234,20.51,48,270,82.22,9,4,11.4,10.4,2620,9.0,2490,.908,5
16,Detroit Red Wings*,28.7,82,41,30,11,93,.567,209,219,2,5,-0.16,0.00,5.22,67,165,50,266,18.80,50,271,81.55,2,4,8.8,9.1,2432,8.6,2439,.910,6
